title,brand,price/currency,price/value,stars,reviewsCount,StarsCategory
LUENX Aviator Sunglasses for Men Women-Polarized Shades Driving UV 400 Protection 59 MM,LUENX,$,20.997259999999997,4.6,8627.0,2
CARFIA Acetate Polarized Sunglasses for Men UV400 Protection Classic Retro Square Shades Driving Glasses,CARFIA,$,20.997259999999997,4.7,139.0,2
ROCKBROS Polarized Sunglasses UV Protection for Women Men Cycling Sunglasses,ROCKBROS,$,24.99,4.3,5539.0,1
Joopin Sport Sunglasses UV400 Protection Wrap Around Sun Glasses Shades for Men Women,Joopin,$,12.09,4.2,2690.0,1
Ray-Ban Men's Rb2027 Predator 2 Rectangular Sunglasses,Ray-Ban,$,20.997259999999997,4.6,4855.0,2
Polarized Sports Sunglasses for Men Women with 5 Interchangeable Lenes for Cycling Sunglasses Running Baseball Finishing,BangLong,$,20.997259999999997,4.3,3254.0,1
JULI Sports Sunglasses for Men Women Tr90 Rimless Frame for Running Fishing Golf Surf Driving MJ8009,JULI Eyewear,$,29.99,4.2,2172.0,1
"CGID Premium Al-Mg Alloy Pilot Polarized Sunglasses UV400, Spring Hinges Sun Glasses for Men Women",CGID,$,20.997259999999997,4.3,5504.0,1
Duduma Sports Polarized Sunglasses for Men Women Baseball Cycling Golf Fishing Sun Glasses UV Blocking Tr8116,Duduma,$,20.997259999999997,4.3,4750.0,1
Newly Cock Ring for Men Erection Silicone - Penis Ring for Male Penis Ring Rubber Couples for Male Sexual Wellness Sunglasses N-736,Generic,$,20.997259999999997,4.427413127413128,5477.942084942085,2
"KALIYADI Sunglasses for Women and Men, Polarized Square UV Protection, Trendy Metal Frame Hexagon Sunglasses",KALIYADI,$,20.997259999999997,4.3,1075.0,1
SOJOS Classic Polarized Sunglasses for Women Men Trendy Square Frame SJ2149,SOJOS,$,14.99,4.5,668.0,2
Salfboy Polarized Sports Sunglasses for Men Fishing Sun Glasses Mixed Style UV Protection Fan Sports Sunglasses,Salfboy,$,20.997259999999997,4.2,715.0,1
BIRCEN Polarized Mens Sunglasses: UV Protection Black Blue Shades for Men Sport Driving with Al-Mg Metal Frame,BIRCEN,$,20.997259999999997,4.3,3154.0,1
"Armani Exchange Man Sunglasses Matte Black Frame, Grey Lenses, 62MM",A｜X ARMANI EXCHANGE,$,37.23,4.5,1375.0,2
Occhsouo Polarized Sunglasses Womens Men - Sun glasses Fashion Trendy Driving Fishing UV Blocking UV400 Protection,Occhsouo,$,14.99,4.6,555.0,2
Woodies Walnut Wood Sunglasses with Dark Polarized Lenses for Men and Women | 100% UVA/UVB Ray Protection,Woodies,$,20.997259999999997,4.5,9206.0,2
JULI Sports Sunglasses for Men Women Tr90 Rimless Frame for Running Fishing Baseball Driving MJ8001,JULI Eyewear,$,20.997259999999997,4.3,3038.0,1
RIVBOS Sunglasses for Men Women Polarized UV Protection Sports Fishing Driving Shades Cycling RB833,RIVBOS,$,20.997259999999997,4.4,8797.0,2
"Ironman Men's Relentless Wrap Sunglasses, Matte Black, 63 mm",IRONMAN,$,14.97,4.6,375.0,2
"BluBlocker, Black Original Aviator Sunglasses with Scratch Resistant Lens | Blocks 100% of Blue Light and UVA & UVB Rays | Retro | Gender Neutral - for Men, Women & Everyone | 2701K |",BluBlocker,$,20.997259999999997,4.6,1353.0,2
Gtand Fashion Oversized Square Aviator Gradient Sunglasses For Men Women Vintage Metal Sun Glasses 63mm,Gtand,$,16.8,4.5,1082.0,2
Ziwanule Polarized Aviator Sunglasses for Men/Women Metal Mens Sunglasses Driving Sun Glasses,Ziwanule,$,20.997259999999997,4.3,2207.0,1
ROCKBROS Photochromic Sports Sunglasses for Men Women Cycling UV Protection,ROCKBROS,$,27.99,4.3,2124.0,1
AIMADE Premium Military Polarized Aviator Sunglasses Metal Frame Unique Design Sun glasses For Mens Womens 100% UV Protection,AIMADE,$,20.997259999999997,4.2,2115.0,1
"KastKing Iditarod Polarized Sport Sunglasses for Men and Women, Ideal for Driving Fishing Cycling and Running, UV Protection",KastKing,$,20.997259999999997,4.4,2941.0,2
grinderPUNCH Mens Black Super Dark Sunglasses - Slim Wrap Around Gangster Style,grinderPUNCH,$,20.997259999999997,4.2,1035.0,1
"Oakley Men's OO9236 Valve Rectangular Sunglasses, Black/Grey Black Iridium Polarized, 60 mm",Oakley,$,20.997259999999997,4.6,2147.0,2
Harley-Davidson Men's Hd0006v Cat Eye Sunglasses,Harley-Davidson,$,13.97,4.6,89.0,2
